Date,USD/CNY Close,EUR/USD Close,USD/JPY Close,BCHAIN/TOTBC,BCHAIN/MKTCP,BCHAIN/TRFEE,BCHAIN/TRFUS,BCHAIN/NTRAN,BCHAIN/NTRAT,BCHAIN/NTREP,BCHAIN/NADDU,BCHAIN/NTRBL,BCHAIN/TOUTV,BCHAIN/ETRAV,BCHAIN/ETRVU,BCHAIN/TRVOU,BCHAIN/MKPRU,BCHAIN/CPTRV,BCHAIN/CPTRA,BCHAIN/HRATE,BCHAIN/MIREV,BCHAIN/ATRCT,BCHAIN/BLCHS,BCHAIN/AVBLS,BCHAIN/MWTRV,BCHAIN/MWNUS,BCHAIN/MWNTD,BCHAIN/DIFF,gold_price,sp_closing_price,vix_closing_price
2009-01-04,6.8245,1.3855,92.21,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,869.75,931.799988,39.189999
2009-01-05,6.8372,1.36,93.2,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,860.0,927.450012,39.080002
2009-01-06,6.8375,1.3527,93.96,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,844.0,934.700012,38.560001
2009-01-07,6.8364,1.3628,92.68,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,864.0,906.650024,43.389999
2009-01-08,6.84,1.3726,91.41,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,842.5,909.72998,42.560001
2009-01-09,6.8433,1.3431,90.47,750.0,0.0,0.0,0.0,14.0,15.0,14.0,14.0,1.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,6.959437748149999e-07,0.0,0.0,0.0,0.000205039978027,0.0,2.0,0.0,1.0,854.0,890.349976,42.82
2009-01-10,6.8433,1.3431,90.47,2300.0,0.0,0.0,0.0,31.0,46.0,31.0,31.0,1.0,1550.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5410183585200001e-06,0.0,0.0,0.0,0.000205039978027,0.0,2.0,0.0,1.0,854.0,890.349976,42.82
2009-01-11,6.8433,1.3431,90.47,7600.0,0.0,0.0,0.0,106.0,152.0,106.0,106.0,1.0,5300.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26928858074e-06,0.0,0.0,0.0,0.00020540885205500004,0.0,2.0,0.0,1.0,854.0,890.349976,42.82
2009-01-12,6.8437,1.3367,89.0,12050.0,0.0,0.0,0.0,95.0,247.0,95.0,96.0,1.0,4601.0,24.0,0.0,0.0,0.0,18541.6666667,0.0,4.42421399704e-06,0.0,0.0,0.0,0.000221477465683,0.0,2.0,0.0,1.0,848.5,870.26001,45.84
2009-01-13,6.8375,1.3169,89.05,17800.0,0.0,0.0,0.0,116.0,363.0,116.0,117.0,1.0,5778.0,10.0,0.0,0.0,0.0,57500.0,0.0,5.71668100741e-06,0.0,0.0,0.0,0.00020797563635799999,0.0,2.0,0.0,1.0,815.5,871.7899779999998,43.27
